Issue+AF8-Date,Maturity+AF8-Date
2014,2021
2015,2022
2006,2049
2012,2022
2013,2020
2013,2021
2013,2023
2014,2049
2014,2024
2015,2027
2015,2022
2009,2024
2011,2021
2012,2019
2013,2033
2013,2049
2013,2025
2015,2023
2015,2047
2012,2015
2012,2016
2014,2026
2014,2024
2015,2049
2015,2049
2015,2049
2015,2049
2004,2049
2005,2049
2005,2049
2005,2049
2009,2019
2008,2049
2009,2021
2014,2021
2014,2075
2014,2074
2014,2024
2014,2019
2014,2019
2014,2049
2014,2021
2015,2020
2015,2025
2015,2075
2015,2022
2015,2019
2015,2023
2015,2045
2015,2025
2015,2041
2010,2017
2012,2022
2012,2042
2011,2041
2013,2028
2013,2019
2011,2016
2012,2019
2012,2017
2014,2022
2013,2023
2012,2019
2012,2042
2013,2020
2014,2049
2013,2021
2013,2020
2014,2022
2014,2049
2014,2019
2015,2020
2015,2025
2015,2027
2010,2015
2011,2018
2011,2021
2010,2020
2014,2049
2015,2025
2007,2017
2007,2017
2014,2026
2014,2024
2009,2019
2015,2025
2014,2019
2013,2016
2002,2017
2005,2049
2005,2049
2005,2049
2005,2020
2006,2049
2006,2049
2006,2049
2006,2049
2006,2021
2006,2049
2006,2049
2007,2049
2007,2022
2008,2049
2009,2019
2009,2049
2009,2049
2009,2024
2009,2049
2009,2019
2010,2020
2010,2030
2010,2022
2010,2021
2010,2022
2011,2041
2011,2021
2011,2017
2012,2020
2012,2019
2012,2019
2012,2019
2012,2018
2012,2023
2012,2017
2012,2019
2012,2018
2013,2023
2013,2049
2013,2049
2013,2020
2013,2018
2013,2019
2013,2023
2013,2019
2013,2049
2013,2023
2013,2020
2013,2019
2013,2019
2013,2023
2013,2049
2013,2023
2014,2024
2014,2049
2014,2049
2014,2021
2014,2024
2014,2021
2014,2023
2014,2024
2014,2029
2014,2049
2014,2021
2014,2049
2014,2026
2014,2026
2014,2021
2014,2019
2014,2021
2014,2024
2014,2024
2014,2021
2014,2024
2014,2025
2014,2049
2014,2049
2014,2049
2014,2049
2014,2021
2014,2049
2015,2025
2015,2049
2015,2020
2015,2025
2015,2049
2015,2049
2015,2028
2015,2023
2015,2022
2015,2023
2015,2023
2015,2022
1985,2049
1985,2049
1986,2049
1986,2049
1985,2049
1986,2049
1986,2049
2003,2049
2004,2049
2004,2049
2004,2049
1996,2049
2006,2049
2008,2018
2014,2019
2013,2023
2014,2017
1993,2023
2004,2018
2015,2025
2012,2017
2014,2024
2014,2019
2015,2020
1999,2029
2000,2049
2013,2023
2013,2043
2014,2024
2010,2020
2011,2021
2014,2019
2008,2049
2015,2049
2011,2021
2013,2023
2014,2024
2013,2023
2013,2023
2014,2024
2014,2024
2014,2024
2005,2049
2013,2049
2014,2049
2014,2024
2014,2019
2015,2025
2015,2020
2015,2045
2009,2019
2013,2023
2010,2020
2012,2022
2015,2025
2013,2023
2013,2023
2015,2020
2013,2023
2013,2043
2015,2025
2015,2045
2011,2021
2012,2022
2012,2022
2009,2049
2014,2049
2014,2019
2009,2019
2010,2020
2010,2020
2014,2024
2013,2028
2015,2025
2015,2020
2014,2019
2014,2024
2013,2023
1999,2031
2009,2039
2014,2049
2007,2018
2009,2019
2014,2020
2010,2020
2010,2040
2008,2038
2013,2073
2009,2019
2012,2022
2015,2020
2015,2023
2010,2015
2011,2016
2011,2021
2007,2067
2011,2021
2013,2019
2013,2023
2015,2018
2013,2018
2007,2017
2007,2037
2011,2041
2007,2049
2014,2019
2008,2018
2008,2018
2006,2036
2011,2021
2011,2022
2012,2022
2014,2024
2014,2049
2014,2049
2015,2049
2015,2025
2015,2020
2005,2035
2009,2019
2011,2021
2000,2049
2015,2020
2015,2020
2005,2049
2015,2049
2013,2016
2013,2019
2014,2017
2013,2023
2013,2043
2014,2049
2006,2016
2006,2036
2006,2049
2009,2049
2014,2019
2015,2020
2015,2018
2015,2020
2011,2021
2010,2020
2010,2020
2010,2020
2010,2020
2013,2018
2009,2019
2010,2020
2010,2017
2011,2021
2013,2018
2014,2019
2012,2017
2014,2019
2015,2020
2015,2020
2015,2025
2015,2025
2011,2021
2012,2022
2015,2020
2010,2020
2010,2020
2013,2016
2011,2021
2014,2049
2011,2021
2014,2019
2011,2021
2011,2021
2003,2049
2009,2049
2010,2020
2013,2020
2003,2018
2007,2049
2007,2049
2009,2019
2013,2023
2013,2023
2012,2022
2014,2024
2015,2049
2015,2049
2010,2020
2011,2021
2007,2049
2001,2031
2007,2017
2006,2049
2007,2049
2014,2024
2010,2020
2015,2020
1996,2026
2006,2049
2004,2033
2005,2034
2006,2036
2008,2038
2007,2017
2011,2016
2013,2018
2012,2022
2006,2016
2007,2017
2015,2054
2012,2022
2013,2023
2013,2043
2013,2018
2009,2019
2011,2021
2012,2022
2006,2049
2006,2049
2011,2021
2007,2049
2009,2049
2015,2049
2007,2049
2009,2049
2013,2033
2014,2049
2014,2049
2009,2039
2013,2049
2014,2049
2015,2025
2015,2020
2012,2022
2006,2016
2013,2018
2008,2049
2013,2020
2011,2016
2007,2049
2015,2025
2013,2049
2014,2049
2014,2024
2012,2022
2012,2017
2012,2017
2012,2022
2014,2021
2015,2020
2012,2017
2012,2022
2010,2020
2011,2021
2009,2019
2013,2023
2009,2049
2015,2025
2006,2049
2015,2049
2006,2049
2007,2037
2011,2017
2009,2019
2009,2039
2008,2038
2015,2020
2015,2023
2013,2073
2013,2023
2011,2021
2013,2017
2014,2024
2013,2018
2015,2025
2006,2049
2015,2020
2014,2024
1985,2049
1994,2020
1997,2022
1998,2021
1998,2018
1999,2028
1999,2031
1999,2019
1999,2019
1999,2024
1999,2029
2000,2030
2000,2020
2000,2016
2000,2030
2000,2020
2000,2030
2000,2020
2001,2031
2001,2016
2001,2026
2001,2036
2001,2032
2001,2031
2002,2049
2002,2032
2002,2017
2002,2032
2002,2027
2002,2049
2002,2032
2002,2019
2002,2033
2002,2049
2003,2018
2003,2033
2003,2018
2003,2028
2003,2018
2003,2049
2003,2018
2003,2033
2003,2023
2003,2049
2003,2049
2003,2049
2003,2049
2003,2019
2004,2019
2004,2049
2004,2049
2004,2024
2004,2019
2004,2024
2004,2022
2004,2019
2004,2025
2004,2035
2004,2049
2004,2049
2004,2049
2004,2049
2004,2049
2004,2049
2004,2024
2004,2049
2005,2049
2005,2025
2005,2049
2005,2015
2005,2049
2005,2025
2005,2020
2005,2049
2005,2030
2005,2025
2005,2049
2005,2049
2005,2049
2005,2035
2005,2049
2005,2035
2005,2025
2005,2015
2005,2020
2005,2034
2005,2004
2005,2035
2005,2017
2006,2018
2006,2037
2006,2049
2006,2016
2006,2046
2006,2023
2006,2042
2006,2016
2006,2023
2006,2066
2006,2023
2006,2004
2006,2023
2006,2016
2006,2018
2006,2049
2006,2049
2006,2049
2006,2066
2006,2066
2006,2049
2006,2066
2006,2018
2006,2049
2006,2049
2006,2021
2006,2021
2006,2016
2006,2016
2006,2016
2006,2016
2006,2039
2007,2049
2007,2018
2007,2057
2007,2049
2007,2027
2007,2047
2007,2017
2007,2049
2007,2019
2007,2017
2007,2019
2007,2049
2007,2027
2007,2017
2007,2067
2007,2049
2007,2017
2007,2049
2007,2049
2007,2049
2007,2019
2007,2018
2007,2017
2007,2023
2007,2023
2007,2049
2007,2049
2008,2018
2008,2018
2009,2049
2008,2025
2008,2038
2008,2018
2008,2038
2008,2018
2008,2028
2008,2049
2008,2018
2008,2018
2008,2018
2008,2038
2008,2058
2008,2028
2008,2028
2008,2024
2009,2049
2009,2019
2009,2022
2009,2031
2009,2016
2009,2024
2009,2022
2009,2019
2009,2040
2009,2021
2009,2017
2009,2039
2009,2049
2009,2021
2009,2038
2009,2021
2009,2019
2009,2022
2009,2039
2009,2039
2009,2049
2009,2019
2009,2024
2009,2021
2009,2020
2009,2019
2009,2019
2009,2019
2009,2049
2009,2019
2009,2019
2009,2020
2009,2024
2009,2020
2009,2020
2009,2020
2009,2019
2009,2019
2009,2020
2009,2020
2009,2023
2009,2020
2009,2019
2009,2021
2009,2022
2009,2049
2009,2021
2009,2049
2010,2020
2010,2017
2010,2049
2010,2020
2010,2022
2010,2067
2010,2066
2010,2020
2010,2020
2010,2020
2010,2017
2010,2020
2010,2020
2010,2020
2010,2020
2010,2016
2010,2020
2010,2025
2010,2017
2010,2020
2010,2020
2010,2025
2010,2021
2010,2020
2010,2049
2010,2025
2010,2020
2010,2022
2010,2017
2010,2018
2010,2017
2010,2020
2010,2040
2010,2070
2010,2029
2010,2020
2010,2030
2010,2020
2010,2020
2010,2029
2010,2049
2010,2018
2010,2040
2011,2021
2011,2021
2011,2049
2011,2021
2011,2023
2011,2018
2011,2022
2011,2071
2011,2041
2011,2021
2011,2022
2011,2022
2011,2016
2011,2019
2011,2049
2011,2031
2011,2021
2011,2016
2011,2018
2011,2018
2011,2026
2012,2049
2011,2021
2011,2021
2011,2020
2011,2019
2011,2021
2011,2021
2011,2021
2012,2019
2012,2022
2012,2019
2012,2042
2012,2022
2012,2018
2012,2019
2012,2017
2012,2017
2012,2022
2012,2024
2012,2022
2012,2019
2012,2024
2012,2022
2012,2019
2012,2018
2012,2019
2012,2019
2012,2022
2012,2072
2012,2018
2012,2049
2012,2020
2012,2018
2012,2024
2012,2022
2012,2072
2012,2072
2012,2072
2012,2042
2012,2042
2012,2022
2012,2022
2012,2016
2012,2019
2013,2049
2013,2043
2012,2025
2012,2042
2012,2023
2012,2022
2012,2022
2012,2019
2012,2027
2012,2017
2012,2022
2012,2020
2012,2018
2012,2049
2012,2020
2012,2022
2012,2019
2012,2020
2012,2024
2012,2023
2012,2029
2012,2017
2012,2022
2012,2019
2012,2023
2012,2022
2012,2017
2012,2019
2012,2019
2012,2023
2012,2049
2012,2022
2012,2022
2012,2022
2012,2019
2012,2022
2012,2020
2012,2020
2012,2024
2012,2018
2012,2025
2012,2042
2012,2045
2013,2023
2014,2049
2012,2020
2013,2018
2013,2020
2013,2049
2013,2023
2013,2021
2013,2049
2013,2020
2013,2049
2013,2020
2013,2043
2013,2043
2013,2028
2013,2023
2013,2023
2013,2018
2013,2023
2013,2049
2013,2021
2013,2018
2013,2024
2013,2076
2013,2073
2013,2049
2013,2073
2013,2023
2013,2018
2013,2021
2013,2033
2013,2023
2013,2023
2013,2043
2013,2021
2013,2023
2013,2043
2013,2016
2013,2049
2013,2023
2013,2023
2013,2020
2013,2017
2013,2021
2013,2043
2013,2023
2013,2019
2013,2023
2013,2021
2013,2020
2013,2021
2013,2023
2013,2026
2013,2020
2013,2020
2013,2025
2013,2043
2013,2019
2013,2075
2013,2074
2013,2020
2013,2018
2013,2023
2013,2020
2013,2020
2013,2049
2013,2033
2013,2026
2013,2024
2013,2023
2013,2023
2013,2019
2013,2025
2013,2049
2013,2023
2013,2020
2013,2021
2013,2021
2013,2020
2014,2022
2013,2020
2013,2020
2013,2020
2013,2023
